Description,Transaction Date,Transaction Time,Tax Type,Transaction Type,Refund Type,Product Title,Product id,Product Type,Sku Id,Hardware,Buyer Country,Buyer State,Buyer Postal Code,Buyer Currency,Amount (Buyer Currency),Currency Conversion Rate,Merchant Currency,Amount (Merchant Currency)
GPA.1328-3113-1087-25232..2,"Mar 31, 2017",9:12:24 PM PDT,,Charge,,"プレミアムサービス毎月購読 (位置情報アプリ: 大切な家族や友人の 居場所検索,防犯対策)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,SO-01G,JP,,2100848,JPY,299.00,10.040000,KRW,3002.00
GPA.1328-3113-1087-25232..2,"Mar 31, 2017",9:12:24 PM PDT,,Google fee,,"プレミアムサービス毎月購読 (位置情報アプリ: 大切な家族や友人の 居場所検索,防犯対策)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,SO-01G,JP,,2100848,JPY,-90.00,10.040000,KRW,-904.00
GPA.3302-0083-0843-58961..0,"Mar 31, 2017",9:12:36 PM PDT,,Charge,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,b1,KR,울산광역시,689-758,KRW,3900.00,1.000000,KRW,3900.00
GPA.3302-0083-0843-58961..0,"Mar 31, 2017",9:12:36 PM PDT,,Google fee,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,b1,KR,울산광역시,689-758,KRW,-1170.00,1.000000,KRW,-1170.00
GPA.3302-0083-0843-58961..0,"Mar 31, 2017",9:12:36 PM PDT,Third-party Tax,Tax,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,b1,KR,울산광역시,689-758,KRW,390.00,1.000000,KRW,390.00
GPA.1394-4770-1645-10762..6,"Mar 31, 2017",9:13:08 PM PDT,,Charge,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,nobleltektt,KR,,449-850,KRW,3900.00,1.000000,KRW,3900.00
GPA.1394-4770-1645-10762..6,"Mar 31, 2017",9:13:08 PM PDT,,Google fee,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,nobleltektt,KR,,449-850,KRW,-1170.00,1.000000,KRW,-1170.00
GPA.1394-4770-1645-10762..6,"Mar 31, 2017",9:13:08 PM PDT,Third-party Tax,Tax,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,nobleltektt,KR,,449-850,KRW,390.00,1.000000,KRW,390.00
GPA.1363-3379-4602-70611..3,"Mar 31, 2017",9:16:56 PM PDT,,Charge,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,noblelteskt,KR,광주광역시,500-110,KRW,3900.00,1.000000,KRW,3900.00
GPA.1363-3379-4602-70611..3,"Mar 31, 2017",9:16:56 PM PDT,,Google fee,,"프리미엄 서비스 매월 구독 (아이쉐어링 위치추적 -가족 자녀안심,친구찾기,핸드폰분실)",com.isharing.isharing,1,com.isharing.isharing.premiumservice.monthly,noblelteskt,KR,광주광역시,500-110,KRW,-1170.00,1.000000,KRW,-1170.00
